window_size,MSE
10,0.035797461564926324
50,0.007324832341804617
100,0.004168366396029516
200,0.00245388201284426
300,0.0014051089233582483
400,0.0009303710229865358
500,0.0008981688341768883
600,0.0009028186205953372
700,0.0008944506151720413
800,0.0008879579058861726
900,0.0008895252234549705
1000,0.0008911129889219176
